[1220/184500:ERROR:file_io.cc(41)] write: Trwa zamykanie potoku. (0xE8)
[0427/130348.203:ERROR:process_info.cc(625)] range at 0xfffde000, size 0x230 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffdd000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffda000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffd7000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffaf000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffac000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffa9000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffa6000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffa3000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfffa0000, size 0xf84 fully unreadable
[0427/130348.227:ERROR:process_info.cc(625)] range at 0xfff9d000, size 0xf84 fully unreadable
[0427/130348.228:ERROR:process_info.cc(625)] range at 0xfff9a000, size 0xf84 fully unreadable
[0427/130348.228:ERROR:process_info.cc(625)] range at 0xfff94000, size 0xf84 fully unreadable
[0427/130348.228:ERROR:process_info.cc(625)] range at 0xfff8b000, size 0xf84 fully unreadable
[0427/130348.228:ERROR:process_info.cc(625)] range at 0xfff97000, size 0xf84 fully unreadable
[0427/130348.228:ERROR:process_info.cc(625)] range at 0xfff91000, size 0xf84 fully unreadable
[0427/130348.228:ERROR:process_info.cc(625)] range at 0xfff88000, size 0xf84 fully unreadable
[0427/130348.228:ERROR:process_info.cc(625)] range at 0xfff82000, size 0xf84 fully unreadable
